,0,1,2,3,4,5,,,,,,
0,숙소 위치는 찾기 쉽고 일반적인 한국의 반지하 숙소입니다.,숙박시설의 위치는 쉽게 찾을 수 있고 한국의 대표적인 반지하 숙박시설입니다.,3.7,0.864437461,-126.9837494,-5.774169922,,178,세탁 건조기 쓰지 말자 이번엔,세탁건조기 돌리지마,2.6,0.804699659
1,위반행위 조사 등을 거부·방해·기피한 자는 500만원 이하 과태료 부과 대상이다.,시민들 스스로 자발적인 예방 노력을?한 것은 아산 뿐만이 아니었다.,0,0.191182733,-295.8978882,-13.3379879,,,"한편 상반기 중에는 소화전과 교차로, 버스정류장, 횡단보도 등 안전신문고를 활용한 불법 주·정차 주민신고 대상에 ‘어린이 보호구역’을 추가·시행할 방침이다.","한편, 정부는 올 상반기 동안 소화전, 교차로, 버스 정류장, 횡단보도 등 안전 신문 이용 불법 주정차 신고자에 대해 ""아동보호구역""을 추가·시행할 계획입니다.",4,0.871818006
2,회사가 보낸 메일은 이 지메일이 아니라 다른 지메일 계정으로 전달해줘.,사람들이 주로 네이버 메일을 쓰는 이유를 알려줘,0.3,0.655158281,-196.1882324,-8.965210915,,0,숙소 위치는 찾기 쉽고 일반적인 한국의 반지하 숙소입니다.,숙박시설의 위치는 쉽게 찾을 수 있고 한국의 대표적인 반지하 숙박시설입니다.,3.7,0.864437461
3,"긴급 고용안정지원금은 지역고용대응 등 특별지원금, 지자체별 소상공인 지원사업, 취업성공패키지, 청년구직활동지원금, 긴급복지지원제도 지원금과는 중복 수급이 불가능하다.","고용보험이 1차 고용안전망이라면, 국민취업지원제도는 2차 고용안전망입니다.",0.6,0.620857716,-218.0296326,-9.819369316,,205,"위치도 적절했고, 숙소도 엄청 깨끗합니다!","위치는 적절했고, 숙소는 매우 깨끗했습니다!",4.7,0.924221098
4,"호스트의 답장이 늦으나, 개선될 것으로 보입니다.",호스트 응답이 늦었지만 개선될 것으로 보입니다.,4.7,0.837695003,-132.4503784,-5.949326515,,6,지하철을 타도 30분안에는 이동이 가능합니다!,"지하철을 탄다고 해도, 30분이면 그곳에 도착할 수 있어요!",4,0.891415179
5,정부가 새로운 일자리를 직접 창출하는 노력도 배가하겠습니다.,세계에서 우리만큼 오랜 역사와 문화를 공유하는 가까운 이웃이 없습니다.,0,0.228904784,-282.9335327,-13.04170609,,,,,,
6,지하철을 타도 30분안에는 이동이 가능합니다!,"지하철을 탄다고 해도, 30분이면 그곳에 도착할 수 있어요!",4,0.891415179,-107.9402084,-4.882795811,,,,,,
7,사례집은 국립환경과학원 누리집(ecolibrary.me.go.kr)에서 12일부터 볼 수 있다.,"주말을 제외한 평일 오후 12시 30분부터 문예회관 공식 페이스북과 유튜브에서는 지역 예술인들이 중심이 된 서양음악, 국악, 댄스 등의 공연을 실시간으로 감상할 수 있다.",0,0.358788073,-269.0470581,-12.23405838,,,,,,
8,환퐁기 작동 방법 좀 설명해줘,조명등 낮에 켜놓으면 큰일나,0.1,0.254008293,-299.7700806,-13.36860275,,,,,,
9,새로운 친구들을 만나고 싶을때 아주 추천합니다.,새로운 친구들을 만나고 싶을 때 추천합니다.,4.4,0.986066997,-38.02367401,-1.711934447,,,,,,
