,0,1,2,3,4,5
0,숙소 위치는 찾기 쉽고 일반적인 한국의 반지하 숙소입니다.,숙박시설의 위치는 쉽게 찾을 수 있고 한국의 대표적인 반지하 숙박시설입니다.,3.7,0.8639687299728394,-127.1564712524414,-5.7853684425354
1,위반행위 조사 등을 거부·방해·기피한 자는 500만원 이하 과태료 부과 대상이다.,시민들 스스로 자발적인 예방 노력을 한 것은 아산 뿐만이 아니었다.,0.0,0.1935272216796875,-295.496337890625,-13.321803092956543
2,회사가 보낸 메일은 이 지메일이 아니라 다른 지메일 계정으로 전달해줘.,사람들이 주로 네이버 메일을 쓰는 이유를 알려줘,0.3,0.6569851636886597,-195.74301147460938,-8.943840980529785
3,"긴급 고용안정지원금은 지역고용대응 등 특별지원금, 지자체별 소상공인 지원사업, 취업성공패키지, 청년구직활동지원금, 긴급복지지원제도 지원금과는 중복 수급이 불가능하다.","고용보험이 1차 고용안전망이라면, 국민취업지원제도는 2차 고용안전망입니다.",0.6,0.6222322583198547,-217.58505249023438,-9.799544334411621
4,"호스트의 답장이 늦으나, 개선될 것으로 보입니다.",호스트 응답이 늦었지만 개선될 것으로 보입니다.,4.7,0.837182879447937,-132.70101928710938,-5.958354949951172
5,정부가 새로운 일자리를 직접 창출하는 노력도 배가하겠습니다.,세계에서 우리만큼 오랜 역사와 문화를 공유하는 가까운 이웃이 없습니다.,0.0,0.22971904277801514,-283.00433349609375,-13.040802955627441
6,지하철을 타도 30분안에는 이동이 가능합니다!,"지하철을 탄다고 해도, 30분이면 그곳에 도착할 수 있어요!",4.0,0.8921651840209961,-107.5970458984375,-4.8674468994140625
7,사례집은 국립환경과학원 누리집(ecolibrary.me.go.kr)에서 12일부터 볼 수 있다.,"주말을 제외한 평일 오후 12시 30분부터 문예회관 공식 페이스북과 유튜브에서는 지역 예술인들이 중심이 된 서양음악, 국악, 댄스 등의 공연을 실시간으로 감상할 수 있다.",0.0,0.3603336811065674,-268.8795166015625,-12.225288391113281
8,환퐁기 작동 방법 좀 설명해줘,조명등 낮에 켜놓으면 큰일나,0.1,0.25534093379974365,-299.4620361328125,-13.354582786560059
9,새로운 친구들을 만나고 싶을때 아주 추천합니다.,새로운 친구들을 만나고 싶을 때 추천합니다.,4.4,0.9861378073692322,-37.93965148925781,-1.7083362340927124
10,지금 칠월에 약속을 몇 개나 잡으셨는지 말쑴해 주실 수 있나요?,식사 걸러봤자 살 빠지지도 않으니까 거르지 마세요.,0.0,0.38267093896865845,-249.94387817382812,-11.295092582702637
11,2층 부엌과 거실 시설도 굉장히 좋고 히터도 잘 작동합니다.,주방시설 상태도 좋고 욕실도 깨끗합니다.,0.7,0.765705943107605,-162.56329345703125,-7.420521259307861
12,오후 4시쯤에 정원은 너무나 아름다웠어요!,완벽에 가까울만큼 사진과 똑같은 장소였어요!,0.0,0.5334866046905518,-231.035400390625,-10.311267852783203
13,다만 소파 침대에 얼룩과 먼지가 조금 있었습니다,"다만, 관광지들과 거리가 조금 있습니다.",1.0,0.23044133186340332,-290.4832763671875,-13.089658737182617
14,앞으로 늦지 말고 회사 상사와 약속에는 먼저 나가야해.,약속 일정 변경은 당일이 아니라 미리미리 얘기하도록 하세요.,1.3,0.5898894667625427,-209.9756317138672,-9.617022514343262
15,신주쿠에서 딱 두 정거장 떨어진 히가시나카노 역에서 금방 갈 수 있구요,신주쿠에서 두 정거장만 가면 히가시나카노 역에 도착할 수 있어요.,3.8,0.9655993580818176,-64.74542999267578,-2.9606683254241943
16,시끄러운 런던 중심가보다 훨씬 좋습니다.,시끌벅적한 런던 시내보다 훨씬 좋아요.,4.1,0.847784161567688,-132.15142822265625,-6.020975112915039
17,시장에서 어떤 거 사오려고 하시나요?,시장에서 무슨 물건 사 오게?,3.8,0.7830066680908203,-158.28594970703125,-7.085669040679932
18,에어컨 쓰면 안된다고 경고했어.,에어컨 쓰면 안 된다,3.7,0.8499691486358643,-126.9278564453125,-5.828517436981201
19,여행을 마치고 나서도 호스트와 체코가 생각이 납니다.,먼지 한 톨 없고 화장실도 광이 납니다.,0.0,0.35603249073028564,-260.12548828125,-11.806987762451172
20,욕실 수압도 세고 따뜻한 물도 잘 나와요.,수압도 세고 따뜻한 물도 아주 잘 나옵니다.,4.0,0.922683596611023,-97.68595123291016,-4.4743523597717285
21,가급적 식사는 거르지 않도록 해라.,오늘 알람 몇 시로 예약해놨어?,0.0,0.3238954544067383,-273.9033508300781,-12.481914520263672
22,555조8000억원으로 편성한 내년도 예산안은 국난극복과 선도국가로 가기 위한 의지를 담았다는 것이 문 대통령의 설명이다.,"마지막으로, 국민의 안전한 삶과 튼튼한 국방, 평화를 향한 한결같은 의지를 담았습니다.",0.3,0.5537749528884888,-225.57437133789062,-10.268600463867188
23,방에 110볼트 컨버터 3개 있습니다.,화장실에 수건이랑 샴푸도 여러개 있었습니다.,0.0,0.386011004447937,-267.7294616699219,-12.302213668823242
24,샤워기도 수압이 너무 약해서 불편해요.,샤워는 수압이 너무 약해서 불편해요.,4.3,0.98212730884552,-46.88565444946289,-2.1658847332000732
25,그리고 숙소가 예뻐요 그냥 너무너무 예뻐요.,그리고 무엇보다 방이 너무예쁘고 집전체가 너무너무 예뻐요.,2.7,0.7691214084625244,-162.18817138671875,-7.337945461273193
